date,time,room,camera102,camera103,camera104,total_occupancy,cleaning,Deep Cleaning
29-03-2022,17:26:11,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:26:16,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:26:22,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:26:28,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:26:35,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:26:41,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:26:43,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:26:53,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:27:08,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:27:11,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:27:37,M1 Saperation Room,2,1,1,4,False,False
29-03-2022,17:27:40,M1 Saperation Room,1,1,1,3,False,False
29-03-2022,17:27:51,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:27:56,M1 Saperation Room,2,1,1,4,False,False
29-03-2022,17:28:12,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:28:14,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:28:17,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:28:29,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:28:38,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:28:54,M1 Saperation Room,1,2,1,4,False,False
29-03-2022,17:28:59,M1 Saperation Room,1,3,1,5,False,False
29-03-2022,17:29:00,M1 Saperation Room,1,2,1,4,False,False
29-03-2022,17:29:16,M1 Saperation Room,1,3,0,4,False,False
29-03-2022,17:29:20,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:29:28,M1 Saperation Room,2,3,1,6,False,False
29-03-2022,17:29:33,M1 Saperation Room,1,3,1,5,False,False
29-03-2022,17:29:35,M1 Saperation Room,2,3,1,6,False,False
29-03-2022,17:29:56,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:29:59,M1 Saperation Room,2,2,0,4,False,False
29-03-2022,17:30:05,M1 Saperation Room,2,2,0,4,False,False
